year,month,day,hour,PM2.5,PM10,NO2,CO,station
2013,3,5,12,142.0,184.0,136.0,2299.0,Aotizhongxin
2013,3,5,13,163.0,193.0,147.0,2200.0,Aotizhongxin
2013,3,5,14,168.0,182.0,158.0,2100.0,Aotizhongxin
2013,3,5,15,165.0,171.0,172.0,2200.0,Aotizhongxin
2013,3,5,16,166.0,186.0,194.0,2700.0,Aotizhongxin
2013,3,5,17,190.0,218.0,204.0,2799.0,Aotizhongxin
2013,3,5,18,203.0,248.0,197.0,2500.0,Aotizhongxin
2013,3,5,19,210.0,255.0,188.0,2200.0,Aotizhongxin
2013,3,5,20,205.0,244.0,189.0,2500.0,Aotizhongxin
2013,3,5,21,215.0,252.0,178.0,3100.0,Aotizhongxin
2013,3,5,22,219.0,253.0,169.0,3200.0,Aotizhongxin
2013,3,5,23,226.0,269.0,184.0,4400.0,Aotizhongxin
2013,3,6,0,284.0,315.0,174.0,4000.0,Aotizhongxin
2013,3,6,1,272.0,300.0,166.0,4000.0,Aotizhongxin
2013,3,6,2,242.0,265.0,146.0,3200.0,Aotizhongxin
2013,3,6,3,212.0,229.0,141.0,2600.0,Aotizhongxin
2013,3,6,4,192.0,203.0,140.4252,,Aotizhongxin
2013,3,6,5,188.0,194.0,143.0,2500.0,Aotizhongxin
2013,3,6,6,186.0,194.0,131.0,2600.0,Aotizhongxin
2013,3,6,7,188.0,196.0,129.0,2700.0,Aotizhongxin
2013,3,6,8,194.0,205.0,113.0,2500.0,Aotizhongxin
2013,3,6,9,184.0,198.0,102.0,2399.0,Aotizhongxin
2013,3,6,10,175.0,198.0,103.0,2600.0,Aotizhongxin
2013,3,6,11,179.0,212.0,105.0,2399.0,Aotizhongxin
2013,3,6,12,192.0,219.0,113.0,2299.0,Aotizhongxin
2013,3,6,13,201.0,233.0,136.0,2700.0,Aotizhongxin
2013,3,6,14,230.0,265.0,146.0,2799.0,Aotizhongxin
2013,3,6,15,246.0,277.0,157.0,2899.0,Aotizhongxin
2013,3,6,16,248.0,285.0,146.0,2799.0,Aotizhongxin
2013,3,6,17,230.0,276.0,171.0,3200.0,Aotizhongxin
2013,3,6,18,239.0,291.0,177.0,3500.0,Aotizhongxin
2013,3,6,19,242.0,338.0,164.0,3700.0,Aotizhongxin
2013,3,6,20,254.0,396.0,154.0,4200.0,Aotizhongxin
2013,3,6,21,266.0,380.0,159.0,3799.0,Aotizhongxin
2013,3,6,22,254.0,335.0,148.0,4099.0,Aotizhongxin
2013,3,6,23,260.0,360.0,145.0,4000.0,Aotizhongxin
2013,3,7,0,250.0,319.0,139.0,4000.0,Aotizhongxin
2013,3,7,1,240.0,297.0,127.0,4000.0,Aotizhongxin
2013,3,7,2,238.0,294.0,133.0,4000.0,Aotizhongxin
2013,3,7,3,243.0,293.0,121.0,4099.0,Aotizhongxin
2013,3,7,4,246.0,304.0,113.0,5000.0,Aotizhongxin
2013,3,7,5,275.0,337.0,103.0,5599.0,Aotizhongxin
2013,3,7,6,306.0,366.0,114.0,5700.0,Aotizhongxin
2013,3,7,7,320.0,374.0,124.0,4599.0,Aotizhongxin
2013,3,7,8,292.0,344.0,106.0,3700.0,Aotizhongxin
2013,3,7,9,251.0,282.0,116.0,3299.0,Aotizhongxin
2013,3,7,10,228.0,255.0,135.0,3200.0,Aotizhongxin
2013,3,7,11,217.0,255.0,171.0,4000.0,Aotizhongxin
2013,3,7,12,255.0,311.0,201.0,4000.0,Aotizhongxin
2013,3,7,13,258.0,283.0,226.0,3700.0,Aotizhongxin
2013,3,7,14,277.0,284.0,167.0,2899.0,Aotizhongxin
2013,3,7,15,282.0,326.0,130.0,2399.0,Aotizhongxin
2013,3,7,16,267.0,310.0,97.0,1899.0,Aotizhongxin
2013,3,7,17,216.0,257.0,86.0,1600.0,Aotizhongxin
2013,3,7,18,201.0,255.0,125.0,1899.0,Aotizhongxin
2013,3,7,19,211.0,287.0,173.0,2399.0,Aotizhongxin
2013,3,7,20,227.0,298.0,207.0,3399.0,Aotizhongxin
2013,3,7,21,282.0,377.0,213.0,4000.0,Aotizhongxin
2013,3,7,22,363.0,452.0,210.0,4000.0,Aotizhongxin
2013,3,7,23,376.0,426.0,209.0,3799.0,Aotizhongxin
2013,3,8,0,344.0,389.0,195.0,3799.0,Aotizhongxin
2013,3,8,1,339.0,370.0,177.0,4099.0,Aotizhongxin
2013,3,8,2,339.0,400.0,162.0,3899.0,Aotizhongxin
2013,3,8,3,324.0,373.0,154.0,,Aotizhongxin
2013,3,8,4,322.0,345.0,,3299.0,Aotizhongxin
2013,3,8,5,315.0,346.0,144.0,3200.0,Aotizhongxin
2013,3,8,6,310.0,327.0,146.0,3299.0,Aotizhongxin
2013,3,8,7,309.0,318.0,145.0,4099.0,Aotizhongxin
2013,3,8,8,310.0,337.0,137.0,4900.0,Aotizhongxin
2013,3,8,9,326.0,371.0,149.0,5200.0,Aotizhongxin
2013,3,8,10,326.0,844.0,179.2269,,Aotizhongxin
2013,3,8,11,219.0,362.0,160.0,3100.0,Aotizhongxin
2013,3,8,12,104.0,194.0,101.0,1399.0,Aotizhongxin
2013,3,8,13,121.0,225.0,96.0,1300.0,Aotizhongxin
2013,3,8,14,184.0,348.0,104.0,1800.0,Aotizhongxin
2013,3,8,15,330.0,508.0,139.0,3600.0,Aotizhongxin
2013,3,8,16,172.0,284.0,84.0,1700.0,Aotizhongxin
2013,3,8,17,114.0,181.0,68.0,1100.0,Aotizhongxin
2013,3,8,18,82.0,128.0,63.0,900.0,Aotizhongxin
2013,3,8,19,84.0,123.0,73.0,1100.0,Aotizhongxin
2013,3,8,20,91.0,104.0,65.0,1000.0,Aotizhongxin
2013,3,8,21,81.0,87.0,61.0,1100.0,Aotizhongxin
2013,3,8,22,90.0,102.0,68.0,1399.0,Aotizhongxin
2013,3,8,23,79.0,85.0,63.0,1500.0,Aotizhongxin
2013,3,9,0,49.0,67.0,70.0,1600.0,Aotizhongxin
2013,3,9,1,89.0,91.0,84.0,1899.0,Aotizhongxin
2013,3,9,2,89.0,97.0,97.0,2299.0,Aotizhongxin
2013,3,9,3,98.0,125.0,94.0,2299.0,Aotizhongxin
2013,3,9,4,97.0,118.0,97.0,2399.0,Aotizhongxin
2013,3,9,5,102.0,123.0,93.0,2500.0,Aotizhongxin
2013,3,9,6,110.0,153.0,83.0,2600.0,Aotizhongxin
2013,3,9,7,108.0,143.0,85.0,2100.0,Aotizhongxin
2013,3,9,8,104.0,139.0,82.0,2100.0,Aotizhongxin
2013,3,9,9,113.0,166.0,86.0,1899.0,Aotizhongxin
2013,3,9,10,145.0,272.0,86.0,2200.0,Aotizhongxin
2013,3,9,11,69.0,587.0,21.0,400.0,Aotizhongxin
2013,3,9,12,78.0,,10.0,300.0,Aotizhongxin
2013,3,9,13,49.0,628.0,7.0,300.0,Aotizhongxin
2013,3,9,14,47.0,662.0,6.0,300.0,Aotizhongxin
2013,3,9,15,28.0,443.0,8.0,300.0,Aotizhongxin
2013,3,9,16,21.0,263.0,9.0,300.0,Aotizhongxin
2013,3,9,17,14.0,251.0,9.0,300.0,Aotizhongxin
2013,3,9,18,17.0,205.0,10.0,300.0,Aotizhongxin
2013,3,9,19,15.0,107.0,10.0,400.0,Aotizhongxin
2013,3,9,20,18.0,104.0,7.0,400.0,Aotizhongxin
2013,3,9,21,12.0,58.0,8.0,400.0,Aotizhongxin
2013,3,9,22,11.0,34.0,8.0,300.0,Aotizhongxin
2013,3,9,23,6.0,19.0,10.0,400.0,Aotizhongxin
2013,3,10,0,11.0,15.0,16.0,400.0,Aotizhongxin
2013,3,10,1,11.0,16.0,25.0,400.0,Aotizhongxin
2013,3,10,2,6.0,18.0,41.0,400.0,Aotizhongxin
2013,3,10,3,10.0,25.0,55.0,500.0,Aotizhongxin
2013,3,10,4,18.0,63.0,76.0,500.0,Aotizhongxin
2013,3,10,5,21.0,35.0,80.0,700.0,Aotizhongxin
2013,3,10,6,18.0,21.0,73.0,800.0,Aotizhongxin
2013,3,10,7,24.0,46.0,82.0,1500.0,Aotizhongxin
2013,3,10,8,31.0,74.0,84.0,1300.0,Aotizhongxin
2013,3,10,9,26.0,75.0,69.0,900.0,Aotizhongxin
2013,3,10,10,27.0,63.0,55.0,700.0,Aotizhongxin
2013,3,10,11,30.0,59.0,40.0,800.0,Aotizhongxin
2013,3,10,12,28.0,56.0,34.0,700.0,Aotizhongxin
2013,3,10,13,34.0,52.0,30.0,600.0,Aotizhongxin
2013,3,10,14,28.0,54.0,28.0,500.0,Aotizhongxin
2013,3,10,15,37.0,71.0,27.0,500.0,Aotizhongxin
2013,3,10,16,36.0,94.0,26.0,500.0,Aotizhongxin
2013,3,10,17,38.0,117.0,33.0,500.0,Aotizhongxin
2013,3,10,18,44.0,106.0,34.0,600.0,Aotizhongxin
2013,3,10,19,60.0,102.0,39.0,700.0,Aotizhongxin
2013,3,10,20,70.0,115.0,61.0,800.0,Aotizhongxin
2013,3,10,21,64.0,114.0,62.0,800.0,Aotizhongxin
2013,3,10,22,70.0,123.0,60.0,900.0,Aotizhongxin
2013,3,10,23,81.0,140.0,62.0,1000.0,Aotizhongxin
2013,3,11,0,90.0,147.0,69.0,1100.0,Aotizhongxin
2013,3,11,1,95.0,156.0,78.0,1100.0,Aotizhongxin
2013,3,11,2,95.0,140.0,76.0,1100.0,Aotizhongxin
2013,3,11,3,96.0,138.0,78.0,1100.0,Aotizhongxin
2013,3,11,4,97.0,140.0,80.0,1100.0,Aotizhongxin
2013,3,11,5,106.0,146.0,76.0,1200.0,Aotizhongxin
2013,3,11,6,114.0,147.0,76.0,1600.0,Aotizhongxin
2013,3,11,7,112.0,155.0,77.0,2100.0,Aotizhongxin
2013,3,11,8,113.0,184.0,77.0,2600.0,Aotizhongxin
2013,3,11,9,120.0,196.0,89.0,2500.0,Aotizhongxin
2013,3,11,10,141.0,205.0,97.0,2500.0,Aotizhongxin
2013,3,11,11,140.0,198.0,105.0,2299.0,Aotizhongxin
2013,3,11,12,149.0,207.0,118.0,2200.0,Aotizhongxin
2013,3,11,13,150.0,189.0,124.0,2100.0,Aotizhongxin
2013,3,11,14,114.0,151.0,80.0,1100.0,Aotizhongxin
2013,3,11,15,106.0,133.0,69.0,1000.0,Aotizhongxin
2013,3,11,16,113.0,162.0,76.0,1100.0,Aotizhongxin
2013,3,11,17,132.0,198.0,90.0,1700.0,Aotizhongxin
2013,3,11,18,149.0,253.0,100.0,2100.0,Aotizhongxin
2013,3,11,19,144.0,233.0,98.0,1500.0,Aotizhongxin
2013,3,11,20,156.0,214.0,116.0,1899.0,Aotizhongxin
2013,3,11,21,174.0,246.0,121.0,2200.0,Aotizhongxin
2013,3,11,22,152.0,196.0,109.0,1600.0,Aotizhongxin
2013,3,11,23,113.0,145.0,97.0,1300.0,Aotizhongxin
2013,3,12,0,89.0,124.0,80.0,1100.0,Aotizhongxin
2013,3,12,1,106.0,161.0,91.0,1600.0,Aotizhongxin
2013,3,12,2,125.0,159.0,86.0,1899.0,Aotizhongxin
2013,3,12,3,117.0,127.0,81.0,,Aotizhongxin
2013,3,12,4,112.0,140.0,81.0,1399.0,Aotizhongxin
2013,3,12,5,140.0,237.0,74.0,2100.0,Aotizhongxin
2013,3,12,6,146.0,165.0,66.0,2100.0,Aotizhongxin
2013,3,12,7,115.0,121.0,77.0,2100.0,Aotizhongxin
2013,3,12,8,120.0,122.0,78.0,1600.0,Aotizhongxin
2013,3,12,9,116.0,90.0,76.0,1600.0,Aotizhongxin
2013,3,12,10,123.0,94.0,71.0,1700.0,Aotizhongxin
2013,3,12,11,130.0,104.0,69.0,1800.0,Aotizhongxin
2013,3,12,12,132.0,87.0,75.0,1600.0,Aotizhongxin
2013,3,12,13,129.0,84.0,68.0,1500.0,Aotizhongxin
2013,3,12,14,139.0,102.0,67.0,1600.0,Aotizhongxin
2013,3,12,15,135.0,93.0,63.0,1600.0,Aotizhongxin
2013,3,12,16,133.0,102.0,63.0,1500.0,Aotizhongxin
2013,3,12,17,141.0,107.0,70.0,1600.0,Aotizhongxin
2013,3,12,18,124.0,131.0,79.0,1800.0,Aotizhongxin
2013,3,12,19,137.0,140.0,75.0,2000.0,Aotizhongxin
2013,3,12,20,160.0,140.0,74.0,1800.0,Aotizhongxin
2013,3,12,21,140.0,101.0,68.0,1700.0,Aotizhongxin
2013,3,12,22,88.0,31.0,63.0,1100.0,Aotizhongxin
2013,3,12,23,50.0,50.0,54.0,800.0,Aotizhongxin
2013,3,13,0,22.0,22.0,21.0,400.0,Aotizhongxin
2013,3,13,1,10.0,10.0,14.0,300.0,Aotizhongxin
2013,3,13,2,10.0,10.0,16.0,300.0,Aotizhongxin
2013,3,13,3,7.0,7.0,15.0,300.0,Aotizhongxin
2013,3,13,4,11.0,11.0,16.0,400.0,Aotizhongxin
2013,3,13,5,3.0,6.0,20.0,400.0,Aotizhongxin
2013,3,13,6,3.0,6.0,24.0,500.0,Aotizhongxin
2013,3,13,7,3.0,8.0,40.0,600.0,Aotizhongxin
2013,3,13,8,8.0,18.0,62.0,700.0,Aotizhongxin
2013,3,13,9,20.0,24.0,43.0,600.0,Aotizhongxin
2013,3,13,10,16.0,25.0,32.0,500.0,Aotizhongxin
2013,3,13,11,14.0,6.0,26.0,400.0,Aotizhongxin
2013,3,13,12,12.0,6.0,19.0,400.0,Aotizhongxin
2013,3,13,13,17.0,6.0,24.0,400.0,Aotizhongxin
2013,3,13,14,15.0,6.0,19.0,400.0,Aotizhongxin
2013,3,13,15,3.0,9.0,24.0,400.0,Aotizhongxin
2013,3,13,16,3.0,6.0,26.0,400.0,Aotizhongxin
2013,3,13,17,3.0,11.0,37.0,500.0,Aotizhongxin
2013,3,13,18,23.0,38.0,52.0,600.0,Aotizhongxin
2013,3,13,19,31.0,59.0,64.0,700.0,Aotizhongxin
2013,3,13,20,37.0,47.0,64.0,700.0,Aotizhongxin
2013,3,13,21,35.0,39.0,67.0,700.0,Aotizhongxin
2013,3,13,22,37.0,39.0,67.0,700.0,Aotizhongxin
2013,3,13,23,42.0,45.0,74.0,800.0,Aotizhongxin
2013,3,14,0,62.0,113.0,71.0,1100.0,Aotizhongxin
2013,3,14,1,71.0,88.0,67.0,1399.0,Aotizhongxin
2013,3,14,2,60.0,66.0,65.0,1399.0,Aotizhongxin
2013,3,14,3,65.0,53.0,60.0,1200.0,Aotizhongxin
2013,3,14,4,49.0,53.0,57.0,1200.0,Aotizhongxin
2013,3,14,5,72.0,77.0,67.0,1500.0,Aotizhongxin
2013,3,14,6,73.0,75.0,64.0,1600.0,Aotizhongxin
2013,3,14,7,69.0,77.0,55.0,1399.0,Aotizhongxin
2013,3,14,8,72.0,81.0,54.0,1500.0,Aotizhongxin
2013,3,14,9,84.0,95.0,57.0,1500.0,Aotizhongxin
2013,3,14,10,101.0,117.0,61.0,1600.0,Aotizhongxin
2013,3,14,11,111.0,112.0,66.0,1600.0,Aotizhongxin
2013,3,14,12,97.0,125.0,77.0,1700.0,Aotizhongxin
2013,3,14,13,104.0,117.0,78.0,1399.0,Aotizhongxin
2013,3,14,14,108.0,115.0,60.0,900.0,Aotizhongxin
2013,3,14,15,105.0,112.0,56.0,1000.0,Aotizhongxin
2013,3,14,16,105.0,115.0,60.0,1000.0,Aotizhongxin
2013,3,14,17,106.0,126.0,66.0,1000.0,Aotizhongxin
2013,3,14,18,115.0,136.0,74.0,1100.0,Aotizhongxin
2013,3,14,19,119.0,137.0,78.0,1100.0,Aotizhongxin
2013,3,14,20,115.0,118.0,97.0,1200.0,Aotizhongxin
2013,3,14,21,119.0,130.0,102.0,1399.0,Aotizhongxin
2013,3,14,22,140.0,158.0,100.0,1600.0,Aotizhongxin
2013,3,14,23,162.0,179.0,97.0,1700.0,Aotizhongxin
2013,3,15,0,165.0,176.0,91.0,1700.0,Aotizhongxin
2013,3,15,1,180.0,211.0,80.0,2700.0,Aotizhongxin
2013,3,15,2,183.0,218.0,85.0,2700.0,Aotizhongxin
2013,3,15,3,182.0,200.0,87.0,2500.0,Aotizhongxin
2013,3,15,4,173.0,189.0,82.0,2399.0,Aotizhongxin
2013,3,15,5,166.0,177.0,80.0,2200.0,Aotizhongxin
2013,3,15,6,163.0,170.0,79.0,2100.0,Aotizhongxin
2013,3,15,7,137.0,156.0,75.0,1899.0,Aotizhongxin
2013,3,15,8,164.0,174.0,70.0,2100.0,Aotizhongxin
2013,3,15,9,172.0,185.0,75.0,2200.0,Aotizhongxin
2013,3,15,10,173.0,186.0,75.0,2000.0,Aotizhongxin
2013,3,15,11,3.0,3.0,76.0,1600.0,Aotizhongxin
2013,3,15,12,110.0,331.0,91.0,1700.0,Aotizhongxin
2013,3,15,13,227.0,261.0,96.0,1700.0,Aotizhongxin
2013,3,15,14,236.0,279.0,112.0,1899.0,Aotizhongxin
2013,3,15,15,256.0,305.0,147.0,2299.0,Aotizhongxin
2013,3,15,16,287.0,343.0,150.0,2100.0,Aotizhongxin
2013,3,15,17,278.0,320.0,113.0,1700.0,Aotizhongxin
2013,3,15,18,269.0,319.0,96.0,1700.0,Aotizhongxin
2013,3,15,19,286.0,324.0,104.0,1800.0,Aotizhongxin
2013,3,15,20,304.0,343.0,126.0,2000.0,Aotizhongxin
2013,3,15,21,312.0,348.0,132.0,2100.0,Aotizhongxin
2013,3,15,22,316.0,367.0,126.0,2500.0,Aotizhongxin
2013,3,15,23,353.0,430.0,138.0,3200.0,Aotizhongxin
2013,3,16,0,355.0,411.0,118.0,3299.0,Aotizhongxin
2013,3,16,1,328.0,357.0,111.0,2700.0,Aotizhongxin
2013,3,16,2,308.0,330.0,113.0,2399.0,Aotizhongxin
2013,3,16,3,304.0,332.0,108.0,,Aotizhongxin
2013,3,16,4,314.0,316.0,108.0,2000.0,Aotizhongxin
2013,3,16,5,276.0,300.0,91.0,1800.0,Aotizhongxin
2013,3,16,6,276.0,293.0,87.0,1800.0,Aotizhongxin
2013,3,16,7,275.0,297.0,84.0,2100.0,Aotizhongxin
2013,3,16,8,278.0,294.0,82.0,2200.0,Aotizhongxin
2013,3,16,9,272.0,289.0,87.0,2100.0,Aotizhongxin
2013,3,16,10,264.0,273.0,90.0,1899.0,Aotizhongxin
2013,3,16,11,270.0,243.0,88.0,1800.0,Aotizhongxin
2013,3,16,12,227.0,207.0,84.0,1899.0,Aotizhongxin
2013,3,16,13,183.0,189.0,70.0,1899.0,Aotizhongxin
2013,3,16,14,166.0,169.0,61.0,1700.0,Aotizhongxin
2013,3,16,15,150.0,167.0,62.0,1700.0,Aotizhongxin
2013,3,16,16,165.0,212.0,78.0,2299.0,Aotizhongxin
2013,3,16,17,185.0,204.0,81.0,2700.0,Aotizhongxin
2013,3,16,18,216.0,217.0,90.0,2899.0,Aotizhongxin
2013,3,16,19,188.0,217.0,101.0,2600.0,Aotizhongxin
2013,3,16,20,197.0,223.0,85.0,2200.0,Aotizhongxin
2013,3,16,21,228.0,242.0,90.0,2100.0,Aotizhongxin
2013,3,16,22,242.0,204.0,108.0,2100.0,Aotizhongxin
2013,3,16,23,210.0,204.0,92.0,1800.0,Aotizhongxin
2013,3,17,0,166.0,192.0,86.0,1500.0,Aotizhongxin
2013,3,17,1,162.0,194.0,90.0,1700.0,Aotizhongxin
2013,3,17,2,176.0,211.0,95.0,2100.0,Aotizhongxin
2013,3,17,3,217.0,219.0,98.0,2500.0,Aotizhongxin
2013,3,17,4,183.0,195.0,86.0,2299.0,Aotizhongxin
2013,3,17,5,180.0,188.0,71.0,2000.0,Aotizhongxin
2013,3,17,6,184.0,223.0,85.0,2200.0,Aotizhongxin
2013,3,17,7,206.0,210.0,83.0,2200.0,Aotizhongxin
2013,3,17,8,206.0,237.0,80.0,2700.0,Aotizhongxin
2013,3,17,9,257.0,259.0,92.0,2899.0,Aotizhongxin
2013,3,17,10,267.0,283.0,104.0,3100.0,Aotizhongxin
2013,3,17,11,293.0,321.0,126.0,3399.0,Aotizhongxin
2013,3,17,12,322.0,326.0,146.0,3000.0,Aotizhongxin
2013,3,17,13,294.0,347.0,142.0,2799.0,Aotizhongxin
2013,3,17,14,332.0,372.0,124.0,2700.0,Aotizhongxin
2013,3,17,15,352.0,392.0,116.0,2600.0,Aotizhongxin
2013,3,17,16,362.0,383.0,106.0,2299.0,Aotizhongxin
2013,3,17,17,356.0,369.0,98.0,2200.0,Aotizhongxin
